"","year","state_po","party","total.candidatevotes","winner.pct"
"160",2012,"CT","DEMOCRAT",891674,"58%"
"161",2012,"DC","DEMOCRAT",267070,"91%"
"162",2012,"DE","DEMOCRAT",242584,"59%"
"163",2012,"FL","DEMOCRAT",4237756,"50%"
"164",2012,"GA","REPUBLICAN",2078688,"53%"
"165",2012,"HI","DEMOCRAT",306266,"71%"
"166",2012,"IA","DEMOCRAT",822544,"52%"
"167",2012,"ID","REPUBLICAN",420911,"65%"
"168",2012,"IL","DEMOCRAT",3019512,"58%"
"169",2012,"IN","REPUBLICAN",1420543,"54%"
"170",2012,"KS","REPUBLICAN",689809,"60%"
"171",2012,"KY","REPUBLICAN",1087190,"60%"
"172",2012,"LA","REPUBLICAN",1152262,"58%"
"173",2012,"MA","DEMOCRAT",1921290,"61%"
"174",2012,"MD","DEMOCRAT",1677844,"62%"
"175",2012,"ME","DEMOCRAT",399235,"56%"
"176",2012,"MI","DEMOCRAT",2564569,"54%"
"177",2012,"MN","DEMOCRAT",1546167,"53%"
"178",2012,"MO","REPUBLICAN",1482440,"54%"
"179",2012,"MS","REPUBLICAN",710746,"55%"
"180",2012,"MT","REPUBLICAN",267928,"55%"
"181",2012,"NC","REPUBLICAN",2270395,"50%"
"182",2012,"ND","REPUBLICAN",188320,"58%"
"183",2012,"NE","REPUBLICAN",475064,"60%"
"184",2012,"NH","DEMOCRAT",369561,"52%"
"185",2012,"NJ","DEMOCRAT",2125101,"58%"
"186",2012,"NM","DEMOCRAT",415335,"53%"
"187",2012,"NV","DEMOCRAT",531373,"52%"
"188",2012,"NY","DEMOCRAT",4324228,"61%"
"189",2012,"OH","DEMOCRAT",2827621,"51%"
"190",2012,"OK","REPUBLICAN",891325,"67%"
"191",2012,"OR","DEMOCRAT",970488,"54%"
"192",2012,"PA","DEMOCRAT",2990274,"52%"
"193",2012,"RI","DEMOCRAT",279409,"63%"
"194",2012,"SC","REPUBLICAN",1071645,"55%"
"195",2012,"SD","REPUBLICAN",210610,"58%"
"196",2012,"TN","REPUBLICAN",1462330,"59%"
"197",2012,"TX","REPUBLICAN",4569843,"57%"
"198",2012,"UT","REPUBLICAN",740600,"73%"
"199",2012,"VA","DEMOCRAT",1971820,"51%"
"200",2012,"VT","DEMOCRAT",199239,"67%"
"201",2012,"WA","DEMOCRAT",1755396,"56%"
"202",2012,"WI","DEMOCRAT",1620985,"53%"
"203",2012,"WV","REPUBLICAN",417655,"62%"
"204",2012,"WY","REPUBLICAN",170962,"69%"
"205",2012,NA,"DEMOCRAT",41437,NA
"206",2016,"AK","REPUBLICAN",163347,"51%"
"207",2016,"AL","REPUBLICAN",1318250,"62%"
"208",2016,"AR","REPUBLICAN",684872,"61%"
"209",2016,"AZ","REPUBLICAN",1252401,"48%"
"210",2016,"CA","DEMOCRAT",8753788,"62%"
"211",2016,"CO","DEMOCRAT",1338870,"48%"
"212",2016,"CT","DEMOCRAT",897572,"55%"
"213",2016,"DC","DEMOCRAT",282830,"91%"
"214",2016,"DE","DEMOCRAT",235603,"53%"
"215",2016,"FL","REPUBLICAN",4617886,"49%"
"216",2016,"GA","REPUBLICAN",2089104,"51%"
"217",2016,"HI","DEMOCRAT",266891,"62%"
"218",2016,"IA","REPUBLICAN",800983,"51%"
"219",2016,"ID","REPUBLICAN",409055,"59%"
"220",2016,"IL","DEMOCRAT",3090729,"56%"
"221",2016,"IN","REPUBLICAN",1557286,"57%"
"222",2016,"KS","REPUBLICAN",671018,"57%"
"223",2016,"KY","REPUBLICAN",1202971,"63%"
"224",2016,"LA","REPUBLICAN",1178638,"58%"
"225",2016,"MA","DEMOCRAT",1995196,"61%"
"226",2016,"MD","DEMOCRAT",1677928,"60%"
"227",2016,"ME","DEMOCRAT",354718,"48%"
"228",2016,"MI","REPUBLICAN",2279543,"47%"
"229",2016,"MN","DEMOCRAT",1367716,"46%"
